1,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,NA,1,1,1
2,2,NA,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1
3,1,1,2,2,2,1,2,2,1,1,2,NA,1,2,2,2,2,2,2,2,2,1,1
4,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1
5,2,1,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1
6,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1
7,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2
8,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
9,1,1,1,2,1,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,1,1,1
10,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1
11,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1
12,2,1,2,2,2,2,2,1,2,2,NA,2,1,1,1,1,1,1,1,1,NA,1,1
13,2,NA,1,2,2,2,2,2,2,1,1,2,2,NA,1,2,1,2,1,2,1,2,2
14,2,1,2,NA,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1
15,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1
16,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1
17,2,1,2,1,1,1,1,2,NA,2,1,2,2,1,2,2,2,2,1,1,2,2,1
18,1,1,2,2,1,2,2,1,1,2,NA,2,1,2,2,1,2,2,2,2,NA,1,1
19,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1,2
20,1,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1
21,2,1,2,1,2,NA,1,2,1,1,2,2,2,2,1,2,2,2,2,2,NA,2,1
22,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1
23,1,1,2,2,NA,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,NA,2,2
24,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2
25,2,2,1,2,2,2,2,1,2,1,2,2,1,1,2,1,1,1,2,1,1,2,1
26,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,NA,2,1,1,1,1,1,1
27,1,1,2,2,2,2,NA,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2
28,NA,2,1,1,1,1,1,2,2,2,2,1,1,2,NA,2,1,1,1,1,1,1,1
29,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,NA,2,1,1,1,1,1
30,2,2,2,2,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1
