2,2.49192660,1.1606057,2,0,-2.064554
3,1.85883791,1.1305414,2,0,-1.218769
4,1.83391263,1.4538863,2,0,-1.955735
5,1.73671085,1.3570114,2,0,-1.633738
6,1.36662113,0.9205660,2,0,-1.936505
7,1.28400342,0.6539817,2,0,-1.321111
8,1.11619961,0.8631429,2,0,-2.135896
9,0.91803254,1.2745580,2,0,-1.623362
10,0.54920121,0.8531831,2,0,-2.142876
12,0.16527632,1.1656186,2,0,-2.191977
13,0.00733783,0.7253311,2,0,-1.346442
14,-0.23679929,1.0735454,2,0,-1.919885
15,-0.43184519,1.1477625,2,0,-1.526523
16,-0.53868937,0.7607390,2,0,-1.960575
17,-0.76258648,0.9041369,2,0,-1.527938
18,-1.06277777,1.1946721,2,0,-2.208025
19,-1.39066552,0.8597409,2,0,-1.461884
20,-1.46264099,1.5030728,2,0,-2.055553
21,-1.57392104,1.0228893,2,0,-1.352483
22,-1.83092266,2.2274938,2,0,-1.941362
23,-2.27726367,0.9713266,2,0,-1.645304
24,-2.29908780,0.7182215,2,0,-2.093909
25,-2.43411466,1.2587019,2,0,-1.653049
