2,2.49192660,1.1606057,4,0,-2.064554,-1.3819973,-0.59207122
3,1.85883791,1.1305414,4,0,-1.218769,-0.4644777,-0.16414045
4,1.83391263,1.4538863,4,0,-1.955735,-0.9201189,-0.48229235
5,1.73671085,1.3570114,3,0,-1.633738,-1.0755944,0.00000000
6,1.36662113,0.9205660,4,0,-1.936505,-0.9887087,-0.36777098
7,1.28400342,0.6539817,4,0,-1.321111,-0.8404861,-0.37684724
8,1.11619961,0.8631429,4,0,-2.135896,-0.9117478,-0.55126280
9,0.91803254,1.2745580,4,0,-1.623362,-0.7774960,-0.31869280
10,0.54920121,0.8531831,4,0,-2.142876,-0.9393867,-0.45326332
12,0.16527632,1.1656186,4,0,-2.191977,-0.9561159,-0.64797586
13,0.00733783,0.7253311,4,0,-1.346442,-0.8852749,-0.27382297
14,-0.23679929,1.0735454,4,0,-1.919885,-1.1651187,-0.43133309
15,-0.43184519,1.1477625,4,0,-1.526523,-0.8419690,-0.22798975
16,-0.53868937,0.7607390,4,0,-1.960575,-0.9175357,-0.44910094
17,-0.76258648,0.9041369,4,0,-1.527938,-0.5952227,-0.30360883
18,-1.06277777,1.1946721,4,0,-2.208025,-0.8735788,-0.53167636
19,-1.39066552,0.8597409,4,0,-1.461884,-0.9942197,-0.05469300
20,-1.46264099,1.5030728,4,0,-2.055553,-1.0037244,-0.67888571
21,-1.57392104,1.0228893,4,0,-1.352483,-0.6093961,-0.06413245
22,-1.83092266,2.2274938,4,0,-1.941362,-0.8939107,-0.39407486
23,-2.27726367,0.9713266,4,0,-1.645304,-0.9202307,-0.24425508
24,-2.29908780,0.7182215,4,0,-2.093909,-1.0861163,-0.26333865
25,-2.43411466,1.2587019,4,0,-1.653049,-0.5684797,-0.09636568
