1,0.6245,-1.4238,7,0,0.8924,1.0983,1.3468,1.5861,1.8176,2.0789
2,1.1132,-0.4051,7,0,0.5846,0.8524,1.0371,1.3505,1.5915,1.9187
3,1.2729,-0.2294,7,0,0.664,0.9058,1.1629,1.4148,1.6309,1.8353
4,1.0953,0.1971,7,0,0.9192,1.2362,1.4857,1.75,2.0029,2.2
5,0.8341,0.3183,7,0,0.4664,0.7111,0.9453,1.1904,1.4294,1.7286
6,0.9385,0.7002,7,0,0.982,1.224,1.4881,1.7367,1.9712,2.1993
7,1.3761,0.7445,7,0,0.5155,0.7677,1.0529,1.2637,1.5119,1.7569
8,1.2364,0.9588,7,0,0.9637,1.1864,1.4446,1.6772,1.8942,2.1717
9,1.8845,0.9954,7,0,0.4892,0.7101,0.9246,1.1719,1.3877,1.6659
10,0.9197,1.2072,7,0,0.5905,0.806,1.0369,1.3262,1.5809,1.863
