22|1
5|2
3|3
146|4
148|5
136|6
133|7
69|8
27|9
150|10
153|11
85|12
141|13
154|14
122|15
19|16
135|17
113|18
74|19
105|20
100|21
131|22
120|23
89|24
129|25
108|26
88|27
68|28
91|29
30|30
121|31
139|32
109|33
152|34
138|35
103|36
36|37
106|38
17|39
61|40
144|41
111|42
73|43
70|44
127|45
155|46
118|47
98|48
51|49
137|50
124|51
26|52
58|53
114|54
16|55
78|56
102|57
117|58
37|59
77|60
13|61
9|62
125|63
71|64
123|65
21|66
149|67
80|68
50|69
97|70
96|71
60|72
86|73
128|74
23|75
15|76
6|77
10|78
39|79
87|80
42|81
67|82
66|83
18|84
119|85
46|86
4|87
32|88
92|89
132|90
48|91
20|92
142|93
11|94
63|95
29|96
55|97
31|98
12|99
95|100
53|101
52|102
64|103
79|104
126|105
8|106
41|107
130|108
93|109
104|110
112|111
24|112
62|113
76|114
54|115
83|116
47|117
147|118
94|119
1|120
14|121
34|122
115|123
45|124
28|125
56|126
2|127
101|128
35|129
90|130
75|131
107|132
143|133
151|134
40|135
33|136
25|137
65|138
49|139
82|140
134|141
99|142
116|143
38|144
140|145
84|146
81|147
44|148
43|149
59|150
145|151
7|152
110|153
72|154
57|155
