7	-1	9
-1	5	26
0	0	100
-5	-1	55
-4	-1	71
6	-3	4
1	0	96
0	-2	86
2	-1	71
2	-1	71
0	0	100
0	-6	26
2	-8	2
-5	-1	55
4	1	71
0	-3	71
2	-3	39
-2	6	9
-1	-5	55
0	-1	96
-1	-4	71
1	2	96
2	0	86
4	1	71
5	5	100
-2	-1	96
6	1	39
1	0	96
6	1	39
-5	-5	100
0	5	39
-4	-2	86
-1	1	86
1	0	96
-2	1	71
-2	3	39
1	-6	16
0	3	71
0	0	100
6	0	26
7	-4	1
4	4	100
7	-3	2
-1	1	86
1	3	86
-5	-1	55
2	0	86
-1	-6	39
-1	3	55
-3	-2	96
-1	-8	16
2	2	100
0	-1	96
-1	2	71
1	5	55
-2	-1	96
-3	0	71
4	1	71
6	-1	16
-1	2	71
-3	-5	86
-3	-5	86
-6	-10	55
-2	-2	100
-10	-5	39
-5	-3	86
-3	-4	96
3	0	71
0	-2	86
5	10	39
4	-7	1
6	9	71
3	5	86
6	1	39
3	4	96
-1	0	96
2	1	96
-2	-1	96
-2	-5	71
-3	1	55
1	-3	55
6	5	96
0	5	39
4	3	96
2	-1	71
4	4	100
-1	1	86
5	0	39
-1	1	86
1	-1	86
-3	5	9
-7	4	1
1	-5	26
6	2	55
-3	-6	71
-5	-1	55
-3	-1	86
2	-4	26
2	-3	39
3	-2	39
2	-2	55
0	0	100
3	-1	55
-3	1	55
4	4	100
-1	-1	100
-3	-1	86
0	5	39
-1	-2	96
8	-4	0
-1	3	55
0	5	39
1	6	39
-4	0	55
-2	5	16
0	4	55
3	-5	9
0	10	2
-5	7	0
-1	4	39
-1	1	86
9	-3	0
2	-1	71
-3	4	16
1	5	55
-3	3	26
-3	-4	96
-4	-7	71
7	-2	4
-4	0	55
-3	6	4
0	-7	16
-1	2	71
-3	8	1
-4	1	39
0	-7	16
-3	-3	100
-6	3	4
2	5	71
5	-5	2
0	-2	86
-2	-4	86
-1	4	39
4	1	71
-4	4	9
-3	-4	96
2	-1	71
0	2	86
3	-1	55
-2	7	4
2	2	100
0	-2	86
4	-4	9
2	-3	39
0	-7	16
-5	-3	86
1	0	96
7	0	16
6	8	86
2	4	86
-1	-3	86
2	1	96
-3	0	71
-4	-9	39
1	-6	16
0	1	96
-2	3	39
-2	-4	86
0	-2	86
-4	-1	71
4	-1	39
-1	-1	100
-8	4	0
-5	-3	86
-1	0	96
0	-2	86
-6	-1	39
-1	-5	55
0	1	96
-1	-8	16
-1	5	26
-4	-6	86
1	-1	86
-3	-9	26
6	0	26
-2	4	26
-1	0	96
1	0	96
2	3	96
-2	-3	96
1	0	96
4	4	100
5	-2	16
2	3	96
-5	2	16
1	-1	86
-6	-3	71
1	3	86
2	5	71
1	-5	26
5	-6	1
3	-2	39
-5	0	39
-5	4	4
5	-5	2
4	1	71
-2	-2	100
2	0	86
-3	6	4
-5	6	1
2	-6	9
-3	-6	71
0	-1	96
-2	1	71
-1	5	26
-2	2	55
0	0	100
-7	3	2
3	3	100
2	9	16
4	-6	2
-5	-2	71
-1	-6	39
0	5	39
3	-8	1
2	2	100
0	5	39
2	-2	55
-1	-2	96
0	-4	55
0	-3	71
1	0	96
-4	6	2
1	2	96
9	0	4
-8	-2	26
0	-3	71
-4	5	4
1	2	96
-3	-1	86
0	3	71
-1	-2	96
-1	-2	96
7	-5	0
5	1	55
-4	-2	86
-4	1	39
-8	-2	26
1	-4	39
3	0	71
-8	1	4
1	-2	71
0	2	86
-5	-5	100
-1	-2	96
3	2	96
4	-5	4
0	-3	71
-1	-4	71
3	-2	39
-5	4	4
-1	5	26
-2	3	39
1	-3	55
7	5	86
8	-6	0
8	3	39
3	2	96
-2	5	16
-2	1	71
-3	-8	39
-1	3	55
4	-2	26
-1	3	55
5	0	39
5	6	96
5	-6	1
5	4	96
3	-1	55
-3	0	71
2	0	86
-3	3	26
2	4	86
-6	1	16
1	4	71
-3	0	71
-1	-4	71
-6	1	16
-1	-1	100
3	-8	1
0	-1	96
-5	1	26
3	0	71
4	4	100
0	2	86
-2	-3	96
4	4	100
-3	9	0
2	2	100
-5	-6	96
-7	4	1
-3	1	55
5	0	39
-1	3	55
3	-3	26
4	-4	9
-2	-5	71
0	3	71
2	-3	39
-4	3	16
0	6	26
1	2	96
-1	-3	86
2	2	100
1	-2	71
-1	5	26
5	-1	26
0	-4	55
-3	9	0
7	4	71
-4	0	55
-4	-6	86
8	-5	0
-4	2	26
-4	0	55
-3	-1	86
5	0	39
-1	1	86
0	-2	86
-4	5	4
3	-5	9
4	5	96
-2	1	71
-1	4	39
1	-4	39
-3	0	71
-3	-7	55
3	1	86
1	-4	39
1	5	55
5	-2	16
-4	-3	96
-4	2	26
1	-2	71
2	-1	71
-2	2	55
1	-3	55
-9	4	0
9	4	39
-1	7	9
-2	-6	55
-3	6	4
0	1	96
0	2	86
6	-6	0
